,open,,low,close,volume,date,,high
207,83.84,,83.81,83.9201,52409,12/3/2021 9:57,84.16674286,83.96
208,83.92,,83.9,83.95,51427,12/3/2021 9:58,84.10245714,83.99
209,83.95,,83.83,84.0299,52257,12/3/2021 9:59,84.06245714,84.08
210,83.96,,83.57,83.76,80321,12/3/2021 10:00,84.0312,83.96
211,83.7896,,83.5,83.5881,53109,12/3/2021 10:01,83.977,83.819
212,83.59,,83.58,83.7529,77077,12/3/2021 10:02,83.93271429,83.78
213,83.72,,83.72,83.8353,73420,12/3/2021 10:03,83.92698571,83.8999
214,83.84,,83.69,83.7501,64876,12/3/2021 10:04,83.91555714,83.88
215,83.75,,83.69,83.8318,47671,12/3/2021 10:05,83.9035,83.9056
216,83.83,,83.8,83.88,57836,12/3/2021 10:06,83.88064286,83.92
217,83.88,,83.76,83.8,43539,12/3/2021 10:07,83.86992857,83.885
218,83.81,,83.8,83.98,77841,12/3/2021 10:08,83.89435714,83.99
219,83.94,,83.94,84.05,68053,12/3/2021 10:09,83.94578571,84.14
220,84.05,,84.05,84.1309,47659,12/3/2021 10:10,83.98425714,84.1692
221,84.12,,84.09,84.09,46556,12/3/2021 10:11,84.03374286,84.2264
222,84.1,,84.09,84.32,49727,12/3/2021 10:12,84.09294286,84.32
223,84.305,,84.07,84.07,61492,12/3/2021 10:13,84.15437143,84.35
224,84.0998,,83.82,83.9,80281,12/3/2021 10:14,84.19365714,84.16
225,83.92,,83.9,84.03,38574,12/3/2021 10:15,84.20937143,84.1
226,84.03,,83.97,84.0601,20669,12/3/2021 10:16,84.2041,84.1031
227,84.08,,84,84.15,49839,12/3/2021 10:17,84.21707143,84.26
228,84.14,,84.05,84.3,56424,12/3/2021 10:18,84.23472857,84.35
229,84.2701,,84.22,84.26,55300,12/3/2021 10:19,84.2433,84.38
230,84.27,,84.24,84.265,41643,12/3/2021 10:20,84.24187143,84.34
231,84.24,,84.03,84.114,47467,12/3/2021 10:21,84.26185714,84.2999
232,84.17,,84.15,84.22,32972,12/3/2021 10:22,84.28471429,84.26
233,84.22,,84.155,84.21,27177,12/3/2021 10:23,84.31141429,84.29
234,84.215,,84.13,84.18,26676,12/3/2021 10:24,84.31591429,84.2915
235,84.21,,83.92,84.1399,42683,12/3/2021 10:25,84.29591429,84.21
236,84.11,,83.94,83.97,27768,12/3/2021 10:26,84.25734286,84.11
237,83.95,,83.861,83.92,45049,12/3/2021 10:27,84.21448571,84.04
238,83.93,,83.86,83.9,24875,12/3/2021 10:28,84.16307143,83.94
239,83.9499,,83.73,83.79,58044,12/3/2021 10:29,84.11877143,83.9499
240,83.82,,83.81,83.85,18221,12/3/2021 10:30,84.06018571,83.8799
241,83.87,,83.8501,83.8901,29129,12/3/2021 10:31,84.00854286,83.93
242,83.9,,83.66,83.73,58697,12/3/2021 10:32,83.96425714,83.9
243,83.7101,,83.7,83.77,22984,12/3/2021 10:33,83.92138571,83.8099
244,83.7763,,83.66,83.6601,44704,12/3/2021 10:34,83.89138571,83.83
245,83.68,,83.53,83.71,73122,12/3/2021 10:35,83.87424286,83.82
246,83.74,,83.68,83.6804,29162,12/3/2021 10:36,83.84711429,83.76
247,83.705,,83.68,83.71,56207,12/3/2021 10:37,83.83641429,83.805
248,83.72,,83.6907,83.76,30460,12/3/2021 10:38,83.81641429,83.79
249,83.76,,83.6,83.68,28191,12/3/2021 10:39,83.79784286,83.77
250,83.7,,83.7,83.87,49126,12/3/2021 10:40,83.82071429,83.97
251,83.9,,83.88,83.9126,56381,12/3/2021 10:41,83.84928571,84.03
252,83.93,,83.92,84.21,79185,12/3/2021 10:42,83.91071429,84.25
253,84.22,,84.08,84.155,88953,12/3/2021 10:43,83.98357143,84.27
254,84.13,,83.89,83.98,63085,12/3/2021 10:44,84.03565714,84.1696
255,83.9403,,83.87,84.04,36857,12/3/2021 10:45,84.07422857,84.06
256,84.075,,83.78,83.8908,48173,12/3/2021 10:46,84.11992857,84.0899
257,83.9,,83.59,83.64,63076,12/3/2021 10:47,84.11421429,83.93
258,83.61,,83.32,83.375,84954,12/3/2021 10:48,84.05707143,83.63
259,83.39,,83.22,83.3194,72244,12/3/2021 10:49,83.9385,83.42
260,83.29,,83.26,83.5801,83231,12/3/2021 10:50,83.84992857,83.65
261,83.56,,83.51,83.77,56823,12/3/2021 10:51,83.80998571,83.89
262,83.7892,,83.72,83.847,45430,12/3/2021 10:52,83.7957,83.96
263,83.84,,83.8101,83.86,41919,12/3/2021 10:53,83.77857143,83.97
264,83.86,,83.76,83.85,37629,12/3/2021 10:54,83.78,83.94
265,83.865,,83.76,83.96,34262,12/3/2021 10:55,83.83142857,83.99
266,83.95,,83.9,83.9599,27455,12/3/2021 10:56,83.91142857,83.98
267,83.96,,83.91,84,41785,12/3/2021 10:57,83.96142857,84
268,83.9928,,83.92,83.94,84633,12/3/2021 10:58,83.99714286,84.14
269,83.9215,,83.72,83.8435,49473,12/3/2021 10:59,83.99714286,83.96
270,83.86,,83.84,84,49250,12/3/2021 11:00,84.00714286,84.04
271,84.0048,,83.83,83.93,48808,12/3/2021 11:01,84.02571429,84.07
272,83.93,,83.73,84.009,180986,12/3/2021 11:02,84.04285714,84.11
273,83.97,,83.85,83.92,64526,12/3/2021 11:03,84.05142857,84.04
274,83.92,,83.905,84,57530,12/3/2021 11:04,84.05857143,84.05
275,83.995,,83.68,83.8299,68011,12/3/2021 11:05,84.0457,84.0499
276,83.78,,83.38,83.47,68348,12/3/2021 11:06,84.03141429,83.86
277,83.49,,83.49,83.495,48929,12/3/2021 11:07,83.97284286,83.63
278,83.4781,,83.25,83.2835,80945,12/3/2021 11:08,83.89282857,83.5099
279,83.27,,83.1,83.24,87776,12/3/2021 11:09,83.77568571,83.29
280,83.22,,83.15,83.22,56800,12/3/2021 11:10,83.68401429,83.3983
281,83.2399,,83.22,83.34,41064,12/3/2021 11:11,83.58972857,83.39
282,83.3401,,83.33,83.53,59592,12/3/2021 11:12,83.51831429,83.55
283,83.53,,83.53,83.63,63660,12/3/2021 11:13,83.49402857,83.69
284,83.6299,,83.37,83.3901,52348,12/3/2021 11:14,83.49688571,83.65
285,83.39,,83.2,83.2701,104305,12/3/2021 11:15,83.47975714,83.39
286,83.28,,83.2051,83.44,50772,12/3/2021 11:16,83.50832857,83.49
287,83.4599,,83.3501,83.51,42700,12/3/2021 11:17,83.54142857,83.63
288,83.51,,83.25,83.32,47631,12/3/2021 11:18,83.56285714,83.54
289,83.32,,83.01,83.0197,65608,12/3/2021 11:19,83.53428571,83.35
290,83.0255,,83.0255,83.22,40941,12/3/2021 11:20,83.47428571,83.27
291,83.19,,83.1101,83.365,68648,12/3/2021 11:21,83.4357,83.3799
292,83.39,,83.3089,83.51,66512,12/3/2021 11:22,83.4557,83.53
293,83.53,,83.42,83.6796,44672,12/3/2021 11:23,83.48427143,83.69
294,83.64,,83.59,83.63,43817,12/3/2021 11:24,83.49712857,83.72
295,83.6001,,83.47,83.5235,38047,12/3/2021 11:25,83.5157,83.67
296,83.56,,83.36,83.47,49283,12/3/2021 11:26,83.54712857,83.57
297,83.48,,83.42,83.48,57779,12/3/2021 11:27,83.60012857,83.641
298,83.49,,83.3701,83.3907,31092,12/3/2021 11:28,83.6258,83.5596
299,83.43,,83.37,83.55,51996,12/3/2021 11:29,83.64294286,83.65
300,83.59,,83.3401,83.3401,47921,12/3/2021 11:30,83.65437143,83.77
301,83.368,,83.15,83.37,58102,12/3/2021 11:31,83.60722857,83.39
302,83.41,,83.33,83.59,38638,12/3/2021 11:32,83.5958,83.59
303,83.55,,83.54,83.63,50844,12/3/2021 11:33,83.61294286,83.69
304,83.65,,83.364,83.43,54433,12/3/2021 11:34,83.61422857,83.65
305,83.43,,83.3901,83.5,49068,12/3/2021 11:35,83.61571429,83.57
306,83.5099,,83.47,83.67,46637,12/3/2021 11:36,83.62,83.68
307,83.6696,,83.571,83.571,22244,12/3/2021 11:37,83.60571429,83.67
308,83.59,,83.25,83.255,38535,12/3/2021 11:38,83.63428571,83.59
