,open,high,low,close,volume,date,,,,Tick open,Spy gap percentage,Spy close percentage
217,365.37,367.86,364.43,366.73,57735353,12/9/2020 22:00,,,,,,
218,364.9,366.7402,363.26,366.3,57698614,12/10/2020 22:00,,,,,,
219,368.64,369.8,364.47,364.66,69216174,12/13/2020 22:00,,,,,,
220,367.4,369.59,365.92,369.59,64071099,12/14/2020 22:00,,,,,,
221,369.82,371.16,368.8676,370.17,58420517,12/15/2020 22:00,,,,,,
222,371.94,372.46,371.05,372.24,64119472,12/16/2020 22:00,,,,,,
223,370.97,371.15,367.02,369.18,136542328,12/17/2020 22:00,,,,,,
224,364.97,378.46,362.03,367.86,96386745,12/20/2020 22:00,,,,,,
225,368.21,368.3317,366.03,367.24,48388462,12/21/2020 22:00,,,,,,
226,368.28,369.62,367.2172,367.57,46201402,12/22/2020 22:00,,,,,,
227,368.08,369.03,367.45,369,26457853,12/23/2020 22:00,,,,,,
228,371.74,372.59,371.07,372.17,39000402,12/27/2020 22:00,,,,,,
229,373.81,374,370.83,371.46,53680451,12/28/2020 22:00,,,,,,
230,372.34,373.1,371.57,371.99,49455259,12/29/2020 22:00,,,,,,
231,371.78,374.66,371.232,373.88,78520702,12/30/2020 22:00,,,,,,
232,375.31,375.45,364.82,368.79,110210810,1/3/2021 22:00,,,,,,
233,368.1,372.5,368.05,371.33,66426229,1/4/2021 22:00,,,,,,
234,369.71,376.98,369.12,373.55,107997675,1/5/2021 22:00,,,,,,
235,376.1,379.9,375.91,379.1,68766812,1/6/2021 22:00,,,,,,
236,380.59,381.49,377.1,381.26,71677208,1/7/2021 22:00,,,,,,
237,377.85,380.58,377.7189,378.69,51176719,1/10/2021 22:00,,,,,,
238,378.89,379.86,376.36,378.77,52547716,1/11/2021 22:00,,,,,,
239,378.69,380.86,377.85,379.79,45303619,1/12/2021 22:00,,,,,,
240,380.59,381.13,378.1,378.46,49989113,1/13/2021 22:00,,,,,,
241,376.72,377.58,373.7,375.7,107159962,1/14/2021 22:00,,,,,,
242,378.34,379.23,376.75,378.65,51233300,1/18/2021 22:00,,,,,,
