date,1. open,2. high,3. low,4. close,5. volume
2021-12-09 08:12:00,174.5,174.51,174.43,174.43,6687.0
2021-12-09 08:11:00,174.53,174.53,174.5,174.53,5569.0
2021-12-09 08:10:00,174.53,174.56,174.5,174.51,15272.0
2021-12-09 08:09:00,174.71,174.71,174.52,174.53,7129.0
2021-12-09 08:08:00,174.68,174.71,174.67,174.71,6412.0
2021-12-09 08:07:00,174.6699,174.68,174.64,174.68,3207.0
2021-12-09 08:06:00,174.58,174.67,174.57,174.6699,5876.0
2021-12-09 08:05:00,174.59,174.6,174.57,174.5701,4674.0
2021-12-09 08:04:00,174.6,174.6,174.57,174.6,2799.0
2021-12-09 08:03:00,174.6,174.6,174.56,174.56,5964.0
2021-12-09 08:02:00,174.57,174.61,174.55,174.6,4492.0
2021-12-09 08:01:00,174.1001,174.68,173.82,174.57,122405.0
2021-12-09 08:00:00,174.58,174.58,174.57,174.57,4810.0
2021-12-09 07:59:00,174.59,174.64,174.57,174.57,4042.0
2021-12-09 07:58:00,174.6,174.61,174.6,174.6,697.0
2021-12-09 07:57:00,174.54,174.56,174.54,174.56,2016.0
2021-12-09 07:56:00,174.47,174.56,174.47,174.56,3522.0
2021-12-09 07:55:00,174.47,174.47,174.47,174.47,1020.0
2021-12-09 07:54:00,174.5,174.5,174.48,174.5,1537.0
2021-12-09 07:53:00,174.53,174.53,174.5,174.5,1106.0
2021-12-09 07:52:00,174.52,174.53,174.52,174.52,2637.0
2021-12-09 07:51:00,174.52,174.53,174.52,174.53,2166.0
2021-12-09 07:50:00,174.52,174.52,174.49,174.5,2217.0
2021-12-09 07:49:00,174.52,174.53,174.5,174.5,3721.0
2021-12-09 07:48:00,174.57,174.57,174.52,174.52,4049.0
2021-12-09 07:47:00,174.49,174.5,174.47,174.5,3168.0
2021-12-09 07:46:00,174.57,174.57,174.5,174.5,3335.0
2021-12-09 07:45:00,174.61,174.61,174.57,174.57,5924.0
2021-12-09 07:44:00,174.57,174.59,174.57,174.59,938.0
2021-12-09 07:43:00,174.57,174.57,174.5,174.54,3609.0
2021-12-09 07:42:00,174.65,174.65,174.58,174.6,5392.0
2021-12-09 07:41:00,174.64,174.69,174.61,174.65,8403.0
2021-12-09 07:40:00,174.68,174.69,174.63,174.68,7958.0
2021-12-09 07:39:00,174.46,174.68,174.44,174.65,17047.0
2021-12-09 07:38:00,174.46,174.46,174.43,174.44,2582.0
2021-12-09 07:37:00,174.44,174.45,174.42,174.42,3582.0
2021-12-09 07:36:00,174.35,174.41,174.35,174.41,3425.0
2021-12-09 07:35:00,174.34,174.34,174.34,174.34,539.0
2021-12-09 07:34:00,174.32,174.32,174.32,174.32,711.0
2021-12-09 07:33:00,174.3,174.32,174.28,174.28,1648.0
2021-12-09 07:32:00,174.36,174.36,174.35,174.35,1525.0
2021-12-09 07:31:00,174.24,174.35,174.23,174.35,1805.0
2021-12-09 07:30:00,174.33,174.33,174.22,174.22,4229.0
2021-12-09 07:29:00,174.33,174.33,174.33,174.33,253.0
